사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201901,2호선,서울대입구(관악구청),4257,33,29889,2949,44578,17276,146181,28281,209064,73360,140095,73778,78558,59875,72811,57579,78141,61748,87621,72457,77694,74245,80781,80354,86976,90581,100171,114207,116475,182484,72076,187144,58477,107922,59893,102465,57592,107485,29956,70125,4945,24161,6,4456,0,0,0,0,20190203
201901,2호선,서초,2,0,1388,6034,7283,19302,14946,48892,24883,141742,26352,106906,20935,49924,30421,42584,27838,31929,38785,33168,38560,34424,43864,26868,51095,28080,70124,29016,123407,32964,59493,24988,36664,12925,42039,12127,27633,11744,9452,6958,1216,2104,2,29,0,0,0,0,20190203
201901,2호선,선릉,112,0,6294,6553,12680,38604,23502,111622,39674,329945,38921,245288,39559,106771,52885,74084,61115,66661,77415,82112,85450,69063,109047,59005,147898,57449,176738,61248,331334,74281,178334,52162,110571,28962,113215,25403,94865,23063,37596,13532,6476,6592,3,251,0,0,0,0,20190203
201901,2호선,성수,66,12,5882,4037,10844,25840,25458,66913,36540,280949,27967,104461,24125,42243,25668,33427,28945,32437,33641,35840,37750,35487,40947,36103,46970,36186,83326,42219,208470,51592,92811,39195,49394,22509,46710,20031,34230,18093,15355,12227,2379,7639,8,1143,0,0,0,0,20190203
201901,2호선,시청,87,0,1197,1808,2206,15659,5822,66277,8873,254330,12013,95188,17651,32025,25481,30310,26033,28013,32215,33375,37478,30697,43238,27328,45902,24172,81239,23757,200915,25855,77382,15302,52055,8635,48948,8077,32648,7421,13825,5039,1947,1533,0,89,0,0,0,0,20190203
201901,2호선,신답,3,0,961,93,1828,559,6917,1056,11131,2084,4188,1171,2512,1399,2198,1422,2341,1567,2337,1756,2103,1868,1934,2591,2117,3481,2150,3891,2394,9195,1437,8020,841,3694,615,4042,474,3116,185,2367,39,662,0,10,0,0,0,0,20190203
201901,2호선,신당,33,2,6309,1181,11451,8459,27835,16020,47992,40276,28853,27875,20975,21224,20775,22341,23407,23284,25782,25910,26248,27073,27402,26978,30149,28856,35516,35541,41465,48385,26313,38575,18420,23281,16551,21686,12020,21090,7218,13925,1121,5040,6,53,0,0,0,0,20190203
201901,2호선,신대방,148,5,23909,2567,37417,10514,99608,18709,144016,38526,92744,25303,52077,22437,42314,22797,43424,24521,42604,29295,37062,32466,34443,42633,37058,49488,40593,64755,52095,93787,30533,96982,22216,63045,17803,66937,12783,71235,6747,42756,1272,11971,1,276,1,1,0,0,20190203
201901,2호선,신도림,2786,18,38860,6018,54396,20771,153133,44286,163946,132661,103056,86117,72380,79358,72944,79590,84239,86433,92085,90732,92114,84921,97144,92498,103198,101725,122704,127459,170025,196242,103844,177666,88320,97217,92413,90012,72674,90772,32451,66546,4275,31092,14,3745,1,0,0,0,20190203
201901,2호선,신림,338,24,41291,5773,80407,23284,243083,34120,355172,71599,211286,61589,113830,54141,98765,61455,104772,69151,103317,79240,93053,84993,92098,104483,97889,122077,108508,160655,118582,272435,82693,288901,66775,172144,64626,163385,59749,162811,34770,109651,6406,35670,13,711,0,0,0,0,20190203
201901,2호선,신설동,16,0,1022,570,1359,2294,3353,6880,6046,18082,4261,14385,4978,9915,6677,9647,8238,9667,9600,10003,10984,9263,12781,7946,13341,6666,15033,6802,21314,6767,8097,5390,4829,3607,4149,3281,3140,3136,1012,2355,172,864,0,115,0,0,0,0,20190203
201901,2호선,신정네거리,17,2,8346,1720,13140,5446,43628,4368,42708,12130,24574,9212,16810,7383,16011,8884,16168,9476,15055,11690,13226,12788,12521,15829,13719,19400,15741,26160,14582,40556,8304,38027,6041,21092,4992,20287,4170,18294,2016,13044,277,3685,2,211,0,0,0,0,20190203
201901,2호선,신촌,87,3,10759,3671,16610,16460,40444,40493,59087,95857,44094,122836,44421,83333,56021,82634,71727,87451,81086,104574,78818,88099,91340,84962,103008,85961,126896,105979,127149,148566,96493,120347,98775,61541,107670,48650,116982,44061,58582,31802,9616,10396,15,240,0,0,0,0,20190203
201901,2호선,아현,14,0,4365,1043,9517,7680,26197,8561,40019,18911,24227,14695,18671,11131,18052,10369,19360,12189,18638,13512,16889,14025,17249,16073,18572,18818,22254,22368,22144,32329,13164,28647,9627,18476,7812,18551,5319,18710,2573,13179,441,4030,0,62,0,0,0,0,20190203
201901,2호선,양천구청,32,1,4446,1103,11485,1847,32301,4857,31129,10250,18162,6274,12884,5642,12390,5650,11786,7115,11166,8892,9493,9335,8792,11307,9574,13709,11141,17675,10869,27863,4771,28194,3141,16394,2666,15387,2590,14191,952,11436,178,3912,0,44,0,0,0,0,20190203
201901,2호선,역삼,83,1,4327,8500,9750,38548,16391,135196,29868,397974,28302,300025,29196,124732,39830,80572,48945,66701,63625,78844,68394,68999,87403,60617,104295,56217,178448,62182,332167,77195,173560,57814,104376,28400,113316,22150,78322,19428,35363,12607,5898,4298,0,137,2,1,0,0,20190203
201901,2호선,영등포구청,37,1,6025,2731,14032,13205,45277,36704,52020,124177,33266,57499,26218,29185,27731,26490,29685,27838,31567,31067,32070,29992,33292,30380,36707,31687,53326,37208,110934,58699,43756,48375,30974,27088,31553,25331,26120,23798,10511,16708,1776,5907,2,207,0,0,0,0,20190203
201901,2호선,왕십리(성동구청),667,7,7630,1123,11377,6148,31012,11411,60304,31248,36056,24256,23221,16840,24191,18038,27489,20780,29854,23150,28785,23541,30574,25120,32735,28490,41296,39744,49665,67321,31292,49902,29540,28919,33824,24991,32782,25236,21011,17688,3548,7569,1,108,0,0,0,0,20190203
